country,Unnamed: 0,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population,vaccines,people_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,total_vaccinations,percentage_vaccinated,tested_positive,percentage_fully_vaccinated
Thailand,203,Asia,4373846,29475.0,4273599.0,70772.0,1496.0,62371,420.0,17270775.0,246281.0,70126166,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",55362342.0,79.14,50159803.0,71.71,184.25,128882372.0,100.0,25.33,71.53
Timor-Leste,204,Asia,22889,131.0,22746.0,12.0,,16766,96.0,264799.0,193963.0,1365204,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",700055.0,52.09,578949.0,43.08,96.52,1297126.0,95.01,8.64,42.41
Togo,205,Africa,37023,273.0,36727.0,23.0,,4285,32.0,735638.0,85144.0,8639966,Oxford/AstraZeneca,1558542.0,18.38,1557538.0,18.37,32.53,2757575.0,31.92,5.03,18.03
Tonga,206,Australia/Oceania,11049,11.0,10110.0,928.0,,102376,102.0,518262.0,4802012.0,107926,Oxford/AstraZeneca,76910.0,72.04,70283.0,65.83,137.87,147193.0,100.0,2.13,65.12
Trinidad and Tobago,207,North America,154643,3871.0,141354.0,9418.0,18.0,109837,2749.0,726218.0,515806.0,1407928,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",746106.0,53.17,708762.0,50.5,110.0,1543684.0,100.0,21.29,50.34
Tunisia,208,Africa,1041197,28575.0,,,29.0,86414,2372.0,4592916.0,381189.0,12048936,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",7171789.0,60.09,6345597.0,53.16,109.23,13037269.0,100.0,22.67,52.67
Turkey,209,Asia,15053168,98890.0,14951238.0,3040.0,975.0,174977,1149.0,160622710.0,1867071.0,86029250,"Pfizer/BioNTech, Sinovac, Turkovac",57776278.0,67.94,52968985.0,62.29,172.72,146881913.0,100.0,9.37,61.57
Turks And Caicos Islands,210,North America,6046,36.0,5963.0,47.0,4.0,152323,907.0,505354.0,12731886.0,39692,,,,,,,,,1.2,
Uganda,211,Africa,164069,3596.0,100205.0,60268.0,2.0,3388,74.0,2612795.0,53950.0,48429823,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",14131307.0,29.99,8014082.0,17.01,36.5,17197954.0,35.51,6.28,16.55
United Kingdom,212,Europe,22159805,176708.0,21677896.0,305201.0,253.0,323264,2578.0,519264096.0,7574950.0,68550166,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",52788065.0,77.39,49404026.0,72.43,206.68,140968337.0,100.0,4.27,72.07
